app_id,steam_tags,success
1384160,"Fighting, 2D Fighter, Great Soundtrack, Anime, PvP",True
427520,"Automation, Base-Building, Resource Management, Sandbox, Crafting",True
1794680,"Action Roguelike, Bullet Hell, Pixel Graphics, Rogue-lite, Vampire",True
1938090,"FPS, Multiplayer, Shooter, Singleplayer, Action",True
1548850,"Early Access, Tactical, FPS, Realistic, Military",True
2488620,"Racing, Driving, Sports, Multiplayer, Automobile Sim",True
242050,"Pirates, Open World, Assassin, Adventure, Action",True
813780,"Strategy, RTS, City Builder, Multiplayer, Base-Building",True
1295500,"Strategy, Warhammer 40K, Turn-Based Tactics, Turn-Based Strategy, 3D",True
438100,"VR, Free to Play, Multiplayer, Anime, Memes",True
526870,"Base-Building, Automation, Open World, Multiplayer, Crafting",True
1371580,"Building, Open World Survival Craft, Sandbox, MMORPG, Open World",True
835570,,True
1874880,"Military, Simulation, Action, Shooter, Realistic",True
1266540,"Early Access, Exploration, Time Management, Immersive Sim, Sandbox",True
899770,"Action RPG, Loot, Hack and Slash, RPG, Isometric",True
2703850,"Simulation, Parkour, Sports, 3D Platformer, Exploration",True
386360,"Free to Play, MOBA, Multiplayer, Action, Third Person",True
1446780,"Action, Hunting, Online Co-Op, Character Customization, RPG",True
1940340,"Turn-Based Tactics, Dungeon Crawler, Rogue-lite, Dark Fantasy, Lovecraftian",True
518790,"Hunting, Open World, Multiplayer, Nature, Relaxing",True
12210,"Open World, Action, Automobile Sim, Multiplayer, Crime",True
4000,"Sandbox, Moddable, Multiplayer, Physics, Building",True
1313140,"Base-Building, Cute, Action Roguelike, Singleplayer, Dungeon Crawler",True
2315690,"Sports, Simulation, Wrestling, Fighting, Character Customization",True
529340,"Grand Strategy, Economy, Historical, Political Sim, Strategy",True
1286680,"Loot, Adventure, Looter Shooter, Multiplayer, Shooter",True
1063730,"Open World, Massively Multiplayer, MMORPG, RPG, Adventure",True
880940,"Multiplayer, Funny, Online Co-Op, 4 Player Local, Board Game",True
239140,"Zombies, Survival Horror, Horror, Online Co-Op, Open World",True
1304930,"Horror, Multiplayer, Co-op, Survival Horror, Psychological Horror",True
261550,"Medieval, Strategy, Open World, RPG, War",True
2593370,"Visual Novel, Historical, Multiple Endings, Cooking, Interactive Fiction",True
1687950,"JRPG, Story Rich, Great Soundtrack, Turn-Based Combat, Anime",True
304390,"Medieval, Swordplay, Action, Multiplayer, Fighting",True
1190000,"Simulation, Automobile Sim, Realistic, Sandbox, Moddable",True
440900,"Survival, Open World, Nudity, Building, Open World Survival Craft",True
1001270,"Early Access, Multiplayer, Simulation, Cooking, Management",True
22370,"Open World, RPG, Post-apocalyptic, Singleplayer, Moddable",True
264710,"Open World Survival Craft, Survival, Horror, Open World, Underwater",True
601510,"Free to Play, Card Game, Anime, Strategy, Multiplayer",True
548430,"Dwarf, Co-op, PvE, FPS, Procedural Generation",True
1278540,"Strategy, Management, Card Battler, Simulation, Turn-Based Tactics",True
2653940,"Choose Your Own Adventure, Adventure, Interactive Fiction, Visual Novel, Point & Click",True
1056640,"Free to Play, Character Customization, Anime, MMORPG, Multiplayer",True
686810,"Shooter, Realistic, World War II, Multiplayer, FPS",True
728880,"Multiplayer, Online Co-Op, Local Co-Op, Co-op, Casual",True
1599600,"Co-op, Management, Cooking, Rogue-lite, Building",True
976730,"Great Soundtrack, FPS, Classic, Multiplayer, Story Rich",True
570940,"Souls-like, Dark Fantasy, RPG, Difficult, Action",True
588650,"Adventure, Action Roguelike, Metroidvania, Pixel Graphics, Rogue-like",True
107410,"Military, Action, Multiplayer, Shooter, Simulation",True
550,"Zombies, Co-op, FPS, Multiplayer, Shooter",True
1343400,"Free to Play, MMORPG, Open World, Massively Multiplayer, RPG",True
1290000,"Casual, Relaxing, Simulation, Multiplayer, First-Person",True
315210,"Capitalism, Online Co-Op, Superhero, Looter Shooter, Third-Person Shooter",True
2321470,"Dwarf, Action Roguelike, Rogue-lite, Bullet Hell, Top-Down Shooter",True
1476970,"Idler, Pixel Graphics, Free to Play, MMORPG, Management",True
513710,"Survival, Open World Survival Craft, Multiplayer, Open World, Zombies",True
620980,"VR, Rhythm, Music, Moddable, Fast-Paced",True
55150,"Warhammer 40K, Action, Third-Person Shooter, Sci-fi, Third Person",True
244850,"Space, Sandbox, Building, Open World Survival Craft, Multiplayer",True
202970,"Multiplayer, Action, FPS, Shooter, Singleplayer",True
1774580,"Action, Adventure, Souls-like, Singleplayer, Third Person",True
588430,"Free to Play, Base-Building, Survival, Post-apocalyptic, Singleplayer",True
1451190,"3D Fighter, Third Person, 3D, Combat, Controller",True
1229490,"Boomer Shooter, Fast-Paced, FPS, Blood, Character Action Game",True
286160,"Tabletop, Board Game, Simulation, Multiplayer, Sandbox",True
275850,"Open World, Open World Survival Craft, Space, Exploration, Sci-fi",True
1566690,"Robots, 3D, Base-Building, Tower Defense, FPS",True
1658280,"JRPG, RPG, Pixel Graphics, 2.5D, Story Rich",True
1716740,"Space, Singleplayer, Open World, RPG, Sci-fi",True
2666510,"Idler, Farming Sim, Automation, Pixel Graphics, Simulation",True
2015270,"Early Access, Hack and Slash, Dungeon Crawler, Rogue-lite, Beat 'em up",True
1785650,"Sports, Simulation, Tennis, PvP, Multiplayer",True
242760,"Open World Survival Craft, Survival, Open World, Horror, Crafting",True
1092790,"Card Battler, Card Game, Story Rich, Deckbuilding, Horror",True
2116120,"Extraction Shooter, Realistic, FPS, Shooter, Action",True
2437170,"Early Access, Action, MOBA, Third Person, Strategy",True
22330,"RPG, Open World, Fantasy, Singleplayer, Moddable",True
1888930,"Story Rich, Post-apocalyptic, Zombies, Shooter, Action-Adventure",True
2005010,"Boomer Shooter, FPS, Warhammer 40K, Retro, Shooter",True
1188930,"Roguelike Deckbuilder, Anime, RPG, Strategy, Indie",True
1149620,"Simulation, Economy, Building, Singleplayer, Management",True
2708450,"Multiplayer, Funny, Social Deduction, Horror, Stealth",True
494730,"Story Rich, Casual, Medical Sim, Outbreak Sim, RTS",True
851850,"Action, RPG, Anime, Open World, Multiplayer",True
961200,"MOBA, Free to Play, Shooter, Multiplayer, Third Person",True
379430,"Medieval, RPG, Open World, Singleplayer, Realistic",True
2273430,"Action Roguelike, Action-Adventure, 2D, Action, Platformer",True
611670,"Open World, RPG, VR, Singleplayer, Adventure",True
1985810,"Singleplayer, FPS, Multiplayer, Action, Zombies",True
815370,"Open World Survival Craft, Survival, Multiplayer, Online Co-Op, Open World",True
1669000,"Strategy, 4X, Character Customization, Fantasy, RPG",True
985810,,True
872670,"Early Access, Strategy, Co-op, Horror, Shooter",True
1462040,"RPG, Action RPG, JRPG, Singleplayer, Action-Adventure",True
1458140,"Driving, Survival, Story Rich, Exploration, Survival Horror",True
2362300,"Trains, Simulation, Transportation, Automobile Sim, Immersive Sim",True
916440,"City Builder, Strategy, Simulation, Economy, Multiplayer",True
2427700,"Early Access, Auto Battler, Inventory Management, Strategy, PvP",True
1888160,"Mechs, Character Customization, Action, Robots, Third Person",True
1240440,"Free to Play, FPS, Multiplayer, Singleplayer, Shooter",True
367520,"Metroidvania, Souls-like, Platformer, Great Soundtrack, 2D",True
1149460,"Survival, Open World Survival Craft, Multiplayer, Base-Building, Online Co-Op",True
268910,"Difficult, Cartoon, Co-op, Platformer, Great Soundtrack",True
2106670,"Early Access, Online Co-Op, Action Roguelike, Bullet Hell, Aliens",True
756800,"Open World, Simulation, First-Person, Singleplayer, Action",True
